SO_line,CustomerNo,SalesOrderNo,CustomerName,LineKey,ItemCode,ItemCodeDesc,SO Header,PROM DATE,UDF_MATERIALS_CLEAR_DATE,EXP DATE,Exp DATE,Qty,QuantityShipped,UnitPrice,Production Notes,QtyOnHand,RMANumber,DropShip,Comments
0016549_000001,HONEYCA,0016549,"Honeywell, Aerospace CA",000001,262500004163-01,"TRC4008, 8155, TKL, 860W 2x 48",4/19/2021,3/2/2021,3/29/2021,4/19/2021,3/31/2021,1,0,5700,PSP NS 110500001066-01 stk (SOH 4/19/2021),0,,00,"1st ARTICLE, IPQA, BURN-IN, WIP, KITTING"
0016606_000001,ONESTOP,0016606,One Stop Systems,000001,92-646700400000,BP3/14 EPS,3/31/2021,3/31/2021,3/17/2021,3/31/2021,3/31/2021,1,0,885,PSP - rto - NS,0,,00,KITTING
0016610_000001,DXLENTE,0016610,"DXL Enterprises, Inc.",000001,92-661501000000,BPG6615 RAV,3/31/2021,3/31/2021,3/17/2021,3/31/2021,3/31/2021,6,0,676,PSP - rto -NS,1,,00,KITTING
0016610_000002,DXLENTE,0016610,"DXL Enterprises, Inc.",000002,92V705905300000,BXT E5-2418L 4CHT 2.0  No Vide,3/31/2021,3/31/2021,3/17/2021,3/31/2021,3/31/2021,6,0,2010,PSP - rto -NS,0,,00,KITTING
0016610_000003,DXLENTE,0016610,"DXL Enterprises, Inc.",000003,92-701500400000,IOB33JX,3/31/2021,3/31/2021,3/17/2021,3/31/2021,3/31/2021,6,0,137,PSP - rto -NS,0,,00,KITTING
0016468_000001,RAYTPA,0016468,Raytheon Company,000001,262500002440-00,TRC4008 TKL8255 8155 E3-1275v6,4/9/2021,2/8/2021,3/26/2021,4/1/2021,4/1/2021,1,0,6900,"PSP 124500001001-00, 110500001066-01 TS/DP WA 2/28 (SOH 4/9/2021)",0,,00,"QA, BURN-IN, WIP, KITTING"
0016468_000002,RAYTPA,0016468,Raytheon Company,000002,262500006767-00,"TTX3100, 3U, 6615, Expansion",4/9/2021,2/8/2021,3/26/2021,4/1/2021,4/1/2021,1,0,3895,PSP NS  (SOH 4/9/2021),0,,00,"QA, BURN-IN, WIP, KITTING"
0016535_000001,ECRIN,0016535,Ecrin Systems,000001,92-708700800000,BPG7087 CST,4/2/2021,4/2/2021,3/30/2021,4/1/2021,4/1/2021,5,0,983,NS (SOH 4/2/2021),0,,00,KITTING
0016535_000002,ECRIN,0016535,Ecrin Systems,000002,198500001012-00,[BOM]Target & Host cards & 1M,4/2/2021,4/2/2021,3/30/2021,4/1/2021,4/1/2021,5,0,1305,NS (SOH 4/2/2021),1,,00,KITTING
0016575_000001,ECRIN,0016575,Ecrin Systems,000001,92-815500700000,BPG8155 CRA,4/2/2021,4/2/2021,3/30/2021,4/1/2021,4/1/2021,10,0,1161,NS (SOH 4/2/2021),0,,00,KITTING
