SO_line,CustomerNo,SalesOrderNo,CustomerName,LineKey,ItemCode,ItemCodeDesc,SO Header,PROM DATE,UDF_MATERIALS_CLEAR_DATE,EXP DATE,Exp DATE,Qty,QuantityShipped,UnitPrice,Production Notes,QtyOnHand,RMANumber,DropShip,Comments
0016669_000007,IDEALAE,16669,Ideal Aerosmith,7,264500002136-00,Likely EOL - 4 Port USB 3.0 PC,6/7/2021,4/8/2021,4/6/2021,4/14/2021,4/14/2021,2,0,50,Best Date > PSP NS,2,,0,"ON HOLD - BY SALES, BURN-IN, WIP, KITTING - EXPEDITED"
0016669_000008,IDEALAE,16669,Ideal Aerosmith,8,198500001235-00,DVD Kit for Honeywell,6/7/2021,4/8/2021,4/6/2021,4/14/2021,4/14/2021,2,0,50,Best Date > PSP NS,0,,0,"ON HOLD - BY SALES, BURN-IN, WIP, KITTING - EXPEDITED"
0016669_000009,IDEALAE,16669,Ideal Aerosmith,9,/C,Default Item Code /C,6/7/2021,,4/6/2021,4/14/2021,4/14/2021,0,0,0,Best Date > PSP NS,0,,0,"ON HOLD - BY SALES, BURN-IN, WIP, KITTING - EXPEDITED"
0016436_000007,RUDOLPH,16436,Onto Innovation Inc.,7,198500001190-00,"X10DRI-T, E5-2620v4, 16GB, KIT",2/17/2021,2/17/2021,2/24/2021,3/30/2021,4/15/2021,10,0,2050,"26-004846-490, 264500001243-00 DP WA 2 5 (SOH 2/17/2021)",0,,0,"KITTING, ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016252_000012,L3COMM,16252,"L3 Technologies, Inc.",12,262500003377-00,"5U SEP8253 x2, 8236 x2, 4210T",2/1/2021,2/5/2021,3/19/2021,3/3/2021,4/16/2021,25,0,13028,"153500001052-00 Delta Concession ECO due?, 92-508236-037 3/19, 268500001075-01 port, 13-708233-000 ok, 26-004846-573 ok, 26-504605-002 ok,, 111500001479-02, 111500001721-00, 11-001765-003, TS/DP (SOH 2/1/2021)",0,,0,"COMPLETE AT BURN-IN, WIP, BO ON 8236, WIP, ECO HEATSINKS - INCORRECT FAN WIRE ROUTING, PREP, , ON HOLD - ENG, SHORT HEATSINKS, KITTNG - NEED A CONCESSION ECO FOR FAN ALTERNATE"
0016252_000014,L3COMM,16252,"L3 Technologies, Inc.",14,262500003376-00,THS2085 SEP8253 4210T 650W Fix,2/1/2021,2/5/2021,3/19/2021,3/3/2021,4/16/2021,16,0,7187,"11-001780-000, 153500001031-01, 268500001058-01, 11-001998-000 AF, 11-001999-000 AF, 13-708233-000, 92-508253-600, 26-004846-573, 26-504605-002",0,,0,"NEW ECO - REWORK ALL , COMPLETE - ON HOLD AFTER BURN-IN, WIP, PREP, WIP, ON HOLD - ENG, KITTING"
0016252_000021,L3COMM,16252,"L3 Technologies, Inc.",21,/C,Default Item Code /C,2/1/2021,,2/19/2021,3/3/2021,4/16/2021,0,0,0,PSP Enviromental Testing (2U),0,,0,COMPLETE
0016252_000022,L3COMM,16252,"L3 Technologies, Inc.",22,/C,Default Item Code /C,2/1/2021,,3/19/2021,3/3/2021,4/16/2021,0,0,0,"3377 cont > 11-001774-001, 11-001770-002, 11-001824-001, 11-001923-000 TS/DP (SOH 2/1/2021)",0,,0,COMPLETE
0016252_000024,L3COMM,16252,"L3 Technologies, Inc.",24,262500003377-00,"5U SEP8253 x2, 8236 x2, 4210T",2/1/2021,2/5/2021,3/19/2021,3/3/2021,4/16/2021,2,0,13028,"153500001052-00 Delta Concession ECO due?, 92-508236-037 3/19, 268500001075-01 port, 13-708233-000 ok, 26-004846-573 ok, 26-504605-002 ok,, 111500001479-02, 111500001721-00, 11-001765-003, TS/DP (SOH 2/1/2021)",0,,0,"COMPLETE - ON HOLD AFTER BURN-IN, WIP, PREP, ON HOLD- ENG KITTNG - NEED A CONCESSION ECO FOR FAN ALTERNATE"
0016252_000025,L3COMM,16252,"L3 Technologies, Inc.",25,262500003376-00,THS2085 SEP8253 4210T 650W Fix,2/1/2021,2/5/2021,2/19/2021,4/2/2021,4/16/2021,1,0,7187,"PSP, NS - to build 1 - JB/TS/TO",0,,0,"NEW ECO - REWORK ALL, COMPLETE-GIVEN TO ENG FOR TESTING, QA, BURN-IN, WIP, BO ON HS, WIP, KITTED - USE FOR ENG COMPLIANCE TEST"
0016252_000026,L3COMM,16252,"L3 Technologies, Inc.",26,262500003377-00,"5U SEP8253 x2, 8236 x2, 4210T",2/1/2021,2/5/2021,2/19/2021,4/2/2021,4/16/2021,1,0,13028,"PSP, NS - to build 1 - JB/TS/TO",0,,0,"COMPLETE - GIVEN TO ENG FOR TESTINGQA, BURN-IN, WIP, BO ON HS, WIP, KITTED - USE FOR ENG COMPLIACNCE TESTING"
0016252_000027,L3COMM,16252,"L3 Technologies, Inc.",27,262500003376-00,THS2085 SEP8253 4210T 650W Fix,2/1/2021,2/5/2021,3/19/2021,3/3/2021,4/16/2021,1,0,7187,"11-001780-000, 153500001031-01, 268500001058-01, 11-001998-000 AF, 11-001999-000 AF, 13-708233-000, 92-508253-600, 26-004846-573, 26-504605-002",0,,0,"NEW ECO - REWORK ALL, COMPLETE - ON HOLD AFTER BURN-IN, WIP, ON HOLD - ENG KITTING"
0016289_000002,TRIMAP,16289,TriMap International,2,/C,Default Item Code /C,3/26/2021,,3/29/2021,4/8/2021,4/16/2021,0,0,0,PSP Will Accept Partial Shipments,0,,0,"WIP, KITTING"
