SO_line,CustomerNo,SalesOrderNo,CustomerName,LineKey,ItemCode,ItemCodeDesc,SO Header,PROM DATE,UDF_MATERIALS_CLEAR_DATE,EXP DATE,Exp DATE,Qty,QuantityShipped,UnitPrice,Production Notes,QtyOnHand,RMANumber,DropShip,Comments
0016252_000014,L3COMM,16252,"L3 Technologies, Inc.",14,262500003376-00,THS2085 SEP8253 4210T 650W Fix,2/1/2021,2/5/2021,3/19/2021,3/3/2021,4/30/2021,16,0,7187,"11-001780-000, 153500001031-01, 268500001058-01, 11-001998-000 AF, 11-001999-000 AF, 13-708233-000, 92-508253-600, 26-004846-573, 26-504605-002",0,,0,"COMPLETE AT BURN, NEW ECO - REWORK ALL , COMPLETE - ON HOLD AFTER BURN-IN, WIP, PREP, WIP, ON HOLD - ENG, KITTING"
0016252_000024,L3COMM,16252,"L3 Technologies, Inc.",24,262500003377-00,"5U SEP8253 x2, 8236 x2, 4210T",2/1/2021,2/5/2021,3/19/2021,3/3/2021,4/30/2021,2,0,13028,"153500001052-00 Delta Concession ECO due?, 92-508236-037 3/19, 268500001075-01 port, 13-708233-000 ok, 26-004846-573 ok, 26-504605-002 ok,, 111500001479-02, 111500001721-00, 11-001765-003, TS/DP (SOH 2/1/2021)",0,,0,"COMPLETE AT BURN, WIP, PREP, ON HOLD- ENG KITTNG - NEED A CONCESSION ECO FOR FAN ALTERNATE"
0016252_000025,L3COMM,16252,"L3 Technologies, Inc.",25,262500003376-00,THS2085 SEP8253 4210T 650W Fix,2/1/2021,2/5/2021,2/19/2021,4/2/2021,4/30/2021,1,0,7187,"PSP, NS - to build 1 - JB/TS/TO",0,,0,"REPAIR - FAILED COMPLIANCE TESTING, COMPLETE-GIVEN TO ENG FOR TESTING, QA, BURN-IN, WIP, BO ON HS, WIP, KITTED - USE FOR ENG COMPLIANCE TEST"
0016252_000026,L3COMM,16252,"L3 Technologies, Inc.",26,262500003377-00,"5U SEP8253 x2, 8236 x2, 4210T",2/1/2021,2/5/2021,2/19/2021,4/2/2021,4/30/2021,1,0,13028,"PSP, NS - to build 1 - JB/TS/TO",0,,0,"REPAIR - FAILED COMPLIANCE TESTING, COMPLETE-GIVEN TO ENG FOR TESTINGQA, BURN-IN, WIP, BO ON HS, WIP, KITTED - USE FOR ENG COMPLIACNCE TESTING"
0016252_000027,L3COMM,16252,"L3 Technologies, Inc.",27,262500003376-00,THS2085 SEP8253 4210T 650W Fix,2/1/2021,2/5/2021,3/19/2021,3/3/2021,4/30/2021,1,0,7187,"11-001780-000, 153500001031-01, 268500001058-01, 11-001998-000 AF, 11-001999-000 AF, 13-708233-000, 92-508253-600, 26-004846-573, 26-504605-002",0,,0,"COMPLETE AT BURN, NEW ECO - REWORK ALL, COMPLETE - ON HOLD AFTER BURN-IN, WIP, ON HOLD - ENG KITTING"
0016399_000001,L3COMM,16399,"L3 Technologies, Inc.",1,262500003128-00,"(THS2085) 2U,8225-623,8227-038",4/30/2021,1/20/2021,4/21/2021,4/30/2021,4/30/2021,1,0,11584,"111500001740-03 AF, 124500001001-00 ENg, 193500001207-02, 193500001045-00, 92-508225-600, 26-004846-498, 263500001487-00, 26-504580-002 TS/DP WA 1/14 (SOH 4/30/2021)",0,,0,"BURN-IN, WIP, KITTING"
0016399_000002,L3COMM,16399,"L3 Technologies, Inc.",2,262500003153-00,"5U, 8225-018, 8237",4/30/2021,1/20/2021,4/21/2021,4/30/2021,4/30/2021,2,0,41911,"124500001001-00, Eng, 268500001115-00 stk, 92-508225-200, 26-004846-458, TS/DP WA 1/14 (SOH 4/30/2021)",0,,0,"BURN-IN, WIP, KITTING"
0016399_000003,L3COMM,16399,"L3 Technologies, Inc.",3,262500003154-00,"5U, 8225-218, 8236-037",4/30/2021,1/20/2021,4/21/2021,4/30/2021,4/30/2021,1,0,23633,"11-001768-001, 124500001001-00 Eng, 193500001207-02, 263500001487-00, 268500001075-01, 92-508225-200, 26-004846-458, TS/DP WA 1/14 (SOH 4/30/2021)",0,,0,"BURN-IN, WIP, KITTING"
0016447_000001,RUDOLPH,16447,Onto Innovation Inc.,1,198500001190-00,"X10DRI-T, E5-2620v4, 16GB, KIT",4/28/2021,4/28/2021,4/20/2021,4/28/2021,4/30/2021,15,0,2050,"264500001243-00, 26-004846-490, DP WA 2/1 (SOH 4/28/2021)",0,,0,"QA, WIP, KITTING, ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016484_000002,ELESIA,16484,Elesia S.p.A.,2,262500001673-01,"TRC3001 3U, MB (No GPU)",4/9/2021,4/9/2021,4/1/2021,4/8/2021,4/30/2021,1,0,5405,PSP NS (SOH 4/9/2021),1,,0,"ON CREDIT HOLD, IN SHIPPING 4/1/21, QA, BURN-IN, WIP, KITTING"
