SO_line,CustomerNo,SalesOrderNo,CustomerName,LineKey,ItemCode,ItemCodeDesc,SO Header,PROM DATE,UDF_MATERIALS_CLEAR_DATE,EXP DATE,Exp DATE,Qty,QuantityShipped,UnitPrice,Production Notes,QtyOnHand,RMANumber,DropShip,Comments
0016366_000001,IAIELTA,0016366,ELTA \ Care of I.A.I.,000001,262500003375-00,2025E300-001 Rev -,5/14/2021,5/14/2021,,,,5,0,35324,"26-004846-526, 153500001049-00, TS/DP WA 12/29 (SOH 2/11/2021)",0,,00,
0016404_000001,IAIELTA,0016404,ELTA \ Care of I.A.I.,000001,262500003276-00,2025E200-001 Rev E01,2/26/2021,2/26/2021,,,,1,0,32476.62,,0,,00,PULL-IN IF POSSIBLE - EXPEDITED
0016411_000001,RUDOLPH,0016411,Onto Innovation Inc.,000001,262500003624-00,"(TRS3500) 3U, MB",3/4/2021,1/21/2021,3/1/2021,3/8/2021,,1,0,4250,"110500001074-00, 26-004846-461, 263500001145-01 TS/DP WA 1/20 (SOH 3/31/2021) No BD",0,,00,"ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016413_000001,RUDOLPH,0016413,Onto Innovation Inc.,000001,262500003624-00,"(TRS3500) 3U, MB",3/31/2021,1/21/2021,3/15/2021,3/31/2021,,9,0,4250,"110500001074-00, 26-004846-461, 263500001145-01 TS/DP WA 1/20 (SOH 3/31/2021) No BD",0,,00,"ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016413_000003,RUDOLPH,0016413,Onto Innovation Inc.,000003,263500001145-01,"HDD, 1TB, 2.5"", SATA III, 7200",3/31/2021,1/21/2021,44270,3/31/2021,,8,0,85,263500001145-01 DP WA 1/20 (SOH 3/31/2021) No BD,70,,00,"ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016417_000001,RUDOLPH,0016417,Onto Innovation Inc.,000001,198500001190-00,"X10DRI-T, E5-2620v4, 16GB, KIT",3/31/2021,3/31/2021,44278,3/31/2021,,5,0,2050,26-004846-490 DP WA 1/20 (SOH 3/31/2021) No BD,0,,00,"ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016436_000007,RUDOLPH,0016436,Onto Innovation Inc.,000007,198500001190-00,"X10DRI-T, E5-2620v4, 16GB, KIT",2/17/2021,2/17/2021,2/24/2021,3/30/2021,,10,0,2050,"26-004846-490, 264500001243-00 DP WA 2 5 (SOH 2/17/2021)",0,,00,"ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016446_000001,RUDOLPH,0016446,Onto Innovation Inc.,000001,198500001190-00,"X10DRI-T, E5-2620v4, 16GB, KIT",4/1/2021,4/1/2021,3/31/2021,4/1/2021,,5,0,2050,"264500001243-00, 26-004846-490, DP WA 2/1 (SOH 4/1/2021)",0,,00,"ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016447_000001,RUDOLPH,0016447,Onto Innovation Inc.,000001,198500001190-00,"X10DRI-T, E5-2620v4, 16GB, KIT",4/28/2021,4/28/2021,4/20/2021,4/28/2021,,15,0,2050,"264500001243-00, 26-004846-490, DP WA 2/1 (SOH 4/28/2021)",0,,00,"ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016448_000001,RUDOLPH,0016448,Onto Innovation Inc.,000001,198500001190-00,"X10DRI-T, E5-2620v4, 16GB, KIT",5/27/2021,5/27/2021,5/19/2021,5/27/2021,,10,0,2050,"264500001243-00, 26-004846-490, DP WA 2/1 (SOH 5/27/2021)",0,,00,"ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016469_000001,RUDOLPH,0016469,Onto Innovation Inc.,000001,262500003624-00,"(TRS3500) 3U, MB",4/28/2021,2/2/2021,4/19/2021,5/7/2021,,10,0,4250,"110500001074-00 stk, 13-508218-000 TS/DP WA 2/28 (SOH 4/28/2021)",0,,00,"ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016573_000001,RUDOLPH,0016573,Onto Innovation Inc.,000001,198500001190-00,"X10DRI-T, E5-2620v4, 16GB, KIT",6/8/2021,6/8/2021,44348,,,17,0,2050,"264500001243-00, 26-004846-490 DP WA 3/9 (SOH 6/8/2021)",0,,00,"ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016574_000001,RUDOLPH,0016574,Onto Innovation Inc.,000001,198500001190-00,"X10DRI-T, E5-2620v4, 16GB, KIT",6/23/2021,6/23/2021,44363,,,2,0,2050,"264500001243-00, 26-004846-490 DP WA 3/9 (SOH 6/23/2021)",0,,00,"ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016615_000001,RUDOLPH,0016615,Onto Innovation Inc.,000001,262500003624-00,"(TRS3500) 3U, MB",6/2/2021,3/24/2021,5/25/2021,,,4,0,4250,"110500001074-00, 268500001055-00, 26-004846-461, 107500001105-00, 26-504580-001, 263500001513-00, 193500001033-00 TS/DP WA 3/19 (SOH 6/2/2021)",0,,00,"ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016616_000001,RUDOLPH,0016616,Onto Innovation Inc.,000001,262500003624-00,"(TRS3500) 3U, MB",6/29/2021,3/24/2021,6/21/2021,,,10,0,4250,"110500001074-00, 268500001055-00, 26-004846-461, 107500001105-00, 26-504580-001, 263500001513-00, 193500001033-00 TS/DP WA 3/19 (SOH 6/29/2021)",0,,00,"ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016617_000001,RUDOLPH,0016617,Onto Innovation Inc.,000001,262500003624-00,"(TRS3500) 3U, MB",8/6/2021,3/24/2021,7/30/2021,,,8,0,4250,"110500001074-00, 268500001055-00, 26-004846-461, 107500001105-00, 26-504580-001, 263500001513-00, 193500001033-00 TS/DP WA 3/19 (SOH 8/6/2021)",0,,00,"ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016627_000001,ZDATUM,0016627,Zdatum Corporation,000001,262500002342-00,"TRC2009 2U, 8141, 8219 650W",5/18/2021,3/25/2021,5/12/2021,,,1,0,6680,"124500001001-00, 26-004846-467, 263500001190-00 EOL, 264500001999-00 EOL, DP Wa 3/10 (SOH 5/18/2021)",0,,00,
0016628_000001,CONCCOM,0016628,Concurrent RT - Pompano,000001,198500001016-00,"Slide Rails 24-30"" w/Bracket,",6/22/2021,3/25/2021,7/20/2021,,,1,0,100,Best Date > 107500001057-01 DP WA 3/19 (SOH 6/22/2021),0,,00,
0016628_000002,CONCCOM,0016628,Concurrent RT - Pompano,000002,262500003685-00,"(THS5095) 5U,8225-500,8231-037",6/22/2021,3/25/2021,7/20/2021,,,1,0,6944,"Best Date > 11-001844-001, 153500001026-01, **124500001001-00, 111500001768-02, ** 92-508231-037 UC, 26-004846-491 TS/DP WA 3/19 (SOH 6/22/2021)",0,,00,
0016630_000001,L3COLOR,0016630,L3Harris Space & Intelligence,000001,198500002131-00,MBS2000 Chassis and PSU Kit,6/22/2021,6/22/2021,44361,,,2,0,2650,110500001174-01 (convert from -00 to -01 30 OH) TS WA 3/29 (SOH 6/22/2021),0,,00,
0016630_000002,L3COLOR,0016630,L3Harris Space & Intelligence,000002,194500001555-00,"L3 Harris Colorado MBK1U, i7-7",6/22/2021,6/22/2021,44361,,,5,0,3600,"263500001522-00, 26-004846-525 DP WA 3/29 (SOH 6/22/2021)",0,,00,
0016630_000003,L3COLOR,0016630,L3Harris Space & Intelligence,000003,198500001015-00,"Slide Rails 20-26"" w/Bracket,",6/22/2021,6/22/2021,44361,,,2,0,100,NS (SOH 6/22/2021),1,,00,
0016633_000001,EMETCOM,0016633,Emet OEM Computing Ltd.,000001,92-705970400000,BXT E5-2450v2 8CHT 2.5,6/29/2021,6/29/2021,,,,67,0,4787,,0,,00,? DO WE HAVE 67 - 7059's?
0016635_000003,EMETCOM,0016635,Emet OEM Computing Ltd.,000003,92V705980400000,BXTS E5-2450v2 8CHT 2.5  No Vi,6/28/2021,6/28/2021,44405,,,16,0,3499,"**92-507059-002 LT UC - NY reviewing , 26-004846-456, 115500001005-00 TS/DP (SOH 6/28/2021)",0,,00,
0016639_000001,DAKTRON,0016639,"Daktronics, Inc.",000001,262500002478-00,TRC5005 TKL8255 8194 1550W,4/29/2021,3/30/2021,4/27/2021,,,1,0,6050,"110500001068-00, 111500001061-01, 26-004846-527, 111500001147-02, 111500001144-01",0,,00,
0016641_000001,EMETCOM,0016641,Emet OEM Computing Ltd.,000001,92V705980400000,BXTS E5-2450v2 8CHT 2.5  No Vi,6/28/2021,6/28/2021,7/28/2021,,,10,0,3499,"**92-507059-002 LT UC - NY reviewing , 26-004846-456, 115500001005-00 TS/DP (SOH 6/28/2021)",0,,00,
0016641_000002,EMETCOM,0016641,Emet OEM Computing Ltd.,000002,92V705980400000,BXTS E5-2450v2 8CHT 2.5  No Vi,6/28/2021,6/28/2021,7/28/2021,,,10,0,3499,"**92-507059-002 LT UC - NY reviewing , 26-004846-456, 115500001005-00 TS/DP (SOH 6/28/2021)",0,,00,
0016641_000003,EMETCOM,0016641,Emet OEM Computing Ltd.,000003,92V705980400000,BXTS E5-2450v2 8CHT 2.5  No Vi,6/28/2021,6/28/2021,44405,,,15,0,3499,"**92-507059-002 LT UC - NY reviewing , 26-004846-456, 115500001005-00 TS/DP (SOH 6/28/2021)",0,,00,
0016642_000001,BECHTLE,0016642,Bechtle,000001,262500005009-00,TRC1001 2x MSL8256 1200W,7/1/2021,4/1/2021,44376,,,6,0,18009,"**110500001214-00 UC, 26-004846-558, 263500001533-00   TS/DP WA 3/29 (SOH 7/1/2021)",0,,00,
0016643_000001,RUDOLPH,0016643,Onto Innovation Inc.,000001,263500001145-01,"HDD, 1TB, 2.5"", SATA III, 7200",6/16/2021,6/16/2021,44355,,,4,0,85,263500001145-01  (SOH 6/16/2021),70,,00,
0016643_000002,RUDOLPH,0016643,Onto Innovation Inc.,000002,263500001144-00,"DVD, SATA Slim Drive (Read Onl",6/16/2021,6/16/2021,6/8/2021,,,4,0,95,263500001144-00 (SOH 6/16/2021),89,,00,
0016644_000001,RUDOLPH,0016644,Onto Innovation Inc.,000001,263500001145-01,"HDD, 1TB, 2.5"", SATA III, 7200",6/28/2021,6/28/2021,44365,,,36,0,85,263500001145-01  (SOH 6/28/2021),70,,00,
0016644_000002,RUDOLPH,0016644,Onto Innovation Inc.,000002,263500001144-00,"DVD, SATA Slim Drive (Read Onl",6/28/2021,6/28/2021,44365,,,36,0,95,263500001144-00  (SOH 6/28/2021),89,,00,
0016646_000001,EMETCOM,0016646,Emet OEM Computing Ltd.,000001,92-708700800000,BPG7087 CST,4/8/2021,4/8/2021,4/5/2021,,,23,0,917,NS (SOH 4/8/2021),0,,00,
0016647_000001,EMETCOM,0016647,Emet OEM Computing Ltd.,000001,92-708700800000,BPG7087 CST,4/30/2021,4/30/2021,4/19/2021,,,17,0,917,NS (SOH 4/19/2021),0,,00,
0016648_000001,EMETCOM,0016648,Emet OEM Computing Ltd.,000001,92-708700800000,BPG7087 CST,6/2/2021,6/2/2021,5/24/2021,,,19,0,917,NS (SOH 6/2/2021),0,,00,
0016649_000001,EMETCOM,0016649,Emet OEM Computing Ltd.,000001,92-708700800000,BPG7087 CST,6/30/2021,6/30/2021,6/22/2021,,,15,0,917,NS (SOH 6/30/2021),0,,00,
0016650_000001,EMETCOM,0016650,Emet OEM Computing Ltd.,000001,92-708700800000,BPG7087 CST,8/2/2021,8/2/2021,7/23/2021,,,14,0,917,NS (SOH 8/2/2021),0,,00,
0016651_000001,RGBSPEC,0016651,RGB Spectrum,000001,262500004197-00,TRC5004 TKL8255 8032 1200W,6/9/2021,4/2/2021,5/28/2021,,,2,0,7995,"Best Date > 111500001776-00, 26-004846-502 TS/DP WA 3/30 (SOH 6/9/2021)",0,,00,
0016652_000001,LMCOCO,0016652,"Lockheed Martin-Sunnyvale, CA",000001,262500004287-00,TRC4008 TKL8255 6615 860W RED,6/24/2021,6/24/2021,6/17/2021,,,1,0,6175,"111500001061-01, 111500001776-00, 111500001776-00, 111500001147-02, 264500002516-00, 26-004846-525 TS/DP WA 3/30 (SOH 6/24/2021)",0,,00,
0016653_000001,MATERIA,0016653,"Material Handling Systems, Inc",000001,262500002427-00,TRC3001 3U MB i78700K,6/21/2021,4/2/2021,6/8/2021,,,3,0,4800,"Best Date > 110500001074-00, 268500001055-00 delayed at port, 111500001776-00, 111500001061-01, 126500001170-00, 113500001013-00, 111500001144-01, 193500001170-00 TS/DP WA 3/29 (SOH 6/21/2021)",0,,00,Expedited
0016654_000001,MAQUILA,0016654,"Maquila Services, LLC",000001,264500001285-00,Intel I350-T4V2 Ethernet Serve,5/17/2021,5/17/2021,5/7/2021,,,1,0,375,NS (SOH 5/17/2021),17,,00,
0016655_000001,SOLUTIO,0016655,Solution Systems Technologies ,000001,262500004270-00,THS5095 SEP8253 8231 1200W,5/4/2021,4/2/2021,7/20/2021,,,1,0,11250,"Best Date > 153500001026-01, ** 92-508231-037 UC, 26-004846-575, 263500001523-00, 264500001581-00, TS/DP WA 3/29 (SOH 5/4)",0,,00,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
